,Place,Place Latitude,Place Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
72,Ahmedabad,23.0216238,72.5797068,Yash Shah,23.02101158508556,72.57738947868347,Factory
73,Ahmedabad,23.0216238,72.5797068,Elixir Pharma,23.016548278956254,72.57843017578125,Factory
74,Ahmedabad,23.0216238,72.5797068,Divya Lables,23.022551983883616,72.57362365722656,Factory
75,Ahmedabad,23.0216238,72.5797068,Dilip Patidar,23.02579,72.58726000000001,Factory
76,Ahmedabad,23.0216238,72.5797068,Changodar industrial stretch,23.010553065750855,72.59159729069535,Factory
77,Jamnagar,22.4732415,70.0552102,"Udhyognagar, Jamnagar",22.455959950876146,70.05031695395895,Factory
78,Jamnagar,22.4732415,70.0552102,Bombardier,22.459274291992188,70.06365966796875,Factory
79,Vadodara,22.2973142,73.1942567,Duracoat,22.30642578589609,73.18478656407864,Factory
80,Vadodara,22.2973142,73.1942567,Mama Ji's Workshop,22.29912,73.211548,Factory
81,Vadodara,22.2973142,73.1942567,Lizon Opticals Co.,22.29986815895319,73.21241014266957,Factory
82,Vadodara,22.2973142,73.1942567,Elmex Electric Pvt. Ltd.,22.302239410760315,73.17566692829132,Factory
83,Ludhiana,30.9090157,75.851601,Aarti International Limited,30.901304118368696,75.85748434066772,Factory
84,Ludhiana,30.9090157,75.851601,Vardhman knitting yarn,30.900965,75.8572758,Factory
85,Ludhiana,30.9090157,75.851601,C.d thapar knitwears,30.91946743419176,75.85430037519154,Factory
86,Ludhiana,30.9090157,75.851601,Narinder Textile Mills,30.900199646171963,75.86770112259366,Factory
87,Pimpri-Chinchwad,18.6279288,73.8009829,Forbes Marshall,18.638936143934878,73.80459168955558,Factory
88,Pimpri-Chinchwad,18.6279288,73.8009829,Dc Design Studio,18.642268728792153,73.79479125906163,Factory
89,Pimpri-Chinchwad,18.6279288,73.8009829,finolex industries,18.644889434324085,73.80225919277407,Factory
90,Mumbai,19.0759899,72.8773928,meethi nadi,19.076097585190524,72.87687174233704,Factory
91,Mumbai,19.0759899,72.8773928,Electro smiths,19.076748321764658,72.87497710131255,Factory
92,Mumbai,19.0759899,72.8773928,Kurla Car Shed,19.06717364688852,72.87885046033142,Factory
93,Mumbai,19.0759899,72.8773928,Mother Dairy,19.063066341439367,72.88297514100086,Factory
94,Bangalore,12.9791198,77.5912997,G1 Thin Pcs,12.976827851242032,77.59097456932068,Factory
95,Bangalore,12.9791198,77.5912997,UB Towers Cafetiere,12.973100662231445,77.59573364257812,Factory
96,Bangalore,12.9791198,77.5912997,Jay Bharath Timbers,12.966670774635283,77.59827017784119,Factory
97,Bangalore,12.9791198,77.5912997,Gokaldas Exports,12.962396351810936,77.59118733507604,Factory
98,Thrissur,10.5256264,76.2132542,Future Generali India LIC,10.523003332556952,76.20829582214355,Office
99,Gajraula,28.8360988,78.2452916,Gajraula,28.829351258446113,78.24421320781906,Factory
100,Sri City,13.5362462,79.9911259,Alstom Sri City,13.531973838806152,79.98906707763672,Factory
101,Sri City,13.5362462,79.9911259,ZTT India Private Limited,13.530232,79.988939,Factory
102,Sri City,13.5362462,79.9911259,Control Component India Pvt Ltd,13.529782,79.991067,Factory
